"","data.list.id","title","date.created","rw.url"
"6","633307","Helping the displaced in Jowhar get back on their feet",2014-01-29,"http://reliefweb.int/node/633307"
"7","632872","International Protection Considerations with Regard to people fleeing Southern and Central Somalia",2014-01-28,"http://reliefweb.int/node/632872"
"8","633430","GIEWS Country Brief : Somalia 28-January-2014",2014-01-28,"http://reliefweb.int/node/633430"
"9","632730","Better days ahead for the homeless of Hargeysa",2014-01-27,"http://reliefweb.int/node/632730"
"10","632684","Key actors mapping: Somalia",2014-01-27,"http://reliefweb.int/node/632684"
"11","632519","Somaliland clan loyalty hampers women's political prospects",2014-01-27,"http://reliefweb.int/node/632519"
"12","632231","Filling the gap in providing healthcare after MSF pull-out",2014-01-25,"http://reliefweb.int/node/632231"
"13","632200","Active USG Humanitarian Programs in Somalia (As of 24 January 2014)",2014-01-25,"http://reliefweb.int/node/632200"
"14","632199","Somalia – Complex Emergency Fact Sheet #1, Fiscal Year (FY) 2014",2014-01-25,"http://reliefweb.int/node/632199"
"15","631876","Skills training offers new opportunities to Somali women",2014-01-24,"http://reliefweb.int/node/631876"
"16","631738","Thematic Briefing of the United Nations Country Team Somalia: GBV issue, January 2014",2014-01-23,"http://reliefweb.int/node/631738"
"17","631424","Somalia: Development Operational Plan 2014",2014-01-22,"http://reliefweb.int/node/631424"
"18","631382","Eastern Africa and Indian Ocean Regional Representation Office (EAIOIRO): Development Operational Plan 2014",2014-01-22,"http://reliefweb.int/node/631382"
"19","631227","Humanitarian Bulletin Somalia December 2013 | Issued on 17 January 2014",2014-01-22,"http://reliefweb.int/node/631227"
"20","631088","UN Envoy to Somalia on the new Cabinet",2014-01-21,"http://reliefweb.int/node/631088"
"21","630986","IFJ Joins Somali Affiliate To Demand End of Media Repression",2014-01-21,"http://reliefweb.int/node/630986"
"22","630952","Press Release Regarding the Third Round of Negotiations between Somalia and Somaliland",2014-01-21,"http://reliefweb.int/node/630952"
"23","630771","UN Envoy to Somalia congratulates the Interim Jubba Administration",2014-01-20,"http://reliefweb.int/node/630771"
"24","630296","Changes in the arid lands: the expanding rangeland - regional synthesis report and case studies from Kenya, Ethiopia and Somaliland",2014-01-17,"http://reliefweb.int/node/630296"
"25","630267","Somalia: Refugees and asylum-seekers in Alinjugur and Dadaab, Kenya. Regions of Origin 31 Dec 2013",2014-01-17,"http://reliefweb.int/node/630267"
"26","630241","Somalia: Humanitarian Funding Snapshot (as of 31 December 2013)",2014-01-17,"http://reliefweb.int/node/630241"
"27","630140","Somalia Price Bulletin January 2014",2014-01-17,"http://reliefweb.int/node/630140"
"28","630139","Somalia Livestock Price Bulletin January 2014",2014-01-17,"http://reliefweb.int/node/630139"
"29","629907","Mother, Son Team Up to Fight Somalia Poverty",2014-01-16,"http://reliefweb.int/node/629907"
"30","629678","Somalia: Humanitarian Dashboard - November (issued on 15 January 2014)",2014-01-15,"http://reliefweb.int/node/629678"
