"","data.list.id","title","date.created","rw.url","country"
"39","632858","Hygiene and Sanitation  Officer",2014-01-29,"http://reliefweb.int/node/632858","South Sudan"
"40","632856","WASH Technician",2014-01-29,"http://reliefweb.int/node/632856","South Sudan"
"41","633121","Graca Machel Trust opportunities",2014-01-29,"http://reliefweb.int/node/633121","South Sudan"
"42","633173","Country Director, South Africa",2014-01-29,"http://reliefweb.int/node/633173","South Sudan"
"43","633114","FIELD MANAGERS (South Sudan), Ref: 91/13-14",2014-01-29,"http://reliefweb.int/node/633114","South Sudan"
"44","632955","Program Officer - SA",2014-01-28,"http://reliefweb.int/node/632955","South Sudan"
"45","632939","Finance and Administration Manager",2014-01-28,"http://reliefweb.int/node/632939","South Sudan"
"46","632855","Coordinator (Food Security and Cluster Coordinator)",2014-01-28,"http://reliefweb.int/node/632855","South Sudan"
"47","632936","Grants & Finance Officer",2014-01-28,"http://reliefweb.int/node/632936","South Sudan"
"48","632815","HIV/TB Technical Expert",2014-01-28,"http://reliefweb.int/node/632815","South Sudan"
"49","632866","Emergency program coordinator",2014-01-28,"http://reliefweb.int/node/632866","South Sudan"
"50","632845","Settlement/Camp Manager, South Sudan",2014-01-28,"http://reliefweb.int/node/632845","South Sudan"
"51","632843","Protection Programme Advisor, South Sudan",2014-01-28,"http://reliefweb.int/node/632843","South Sudan"
"52","632697","WASH Program Manager, South Sudan (1993)",2014-01-27,"http://reliefweb.int/node/632697","South Sudan"
"53","632656","Comprehensive Sexuality Education Specialist, Johannesburg, ESARO, ISC-11 (P4)",2014-01-27,"http://reliefweb.int/node/632656","South Sudan"
"54","632648","Regional Project Coordinator (Safeguard Young People Programme), Johannesburg, ESARO, ISC-11 (P4)",2014-01-27,"http://reliefweb.int/node/632648","South Sudan"
"55","632556","South Sudan – Head of Mission – Juba",2014-01-27,"http://reliefweb.int/node/632556","South Sudan"
"56","632503","Distribution Program Manager - SSUD",2014-01-27,"http://reliefweb.int/node/632503","South Sudan"
"57","632497","Camp Manager - South Sudan",2014-01-27,"http://reliefweb.int/node/632497","South Sudan"
"58","632481","Country Finance Officer - South Sudan",2014-01-27,"http://reliefweb.int/node/632481","South Sudan"
"59","632471","WASH Program Manager - south sudan",2014-01-27,"http://reliefweb.int/node/632471","South Sudan"
"60","632297","Team Leader – Australia Awards in Africa",2014-01-26,"http://reliefweb.int/node/632297","South Sudan"
"61","632223","Women’s Protection and Empowerment (WPE) Manager",2014-01-25,"http://reliefweb.int/node/632223","South Sudan"
"62","632160","Emergency Program Coordinator - South Sudan",2014-01-24,"http://reliefweb.int/node/632160","South Sudan"
"63","632149","Security Adviser - South Sudan",2014-01-24,"http://reliefweb.int/node/632149","South Sudan"
