sep=;
2012-06-30;924
2012-07-31;1313
2012-08-21;1554
2012-08-27;1567
2012-08-31;1695
2012-09-04;1704
2012-09-11;2099
2012-09-18;2588
2012-09-26;3869
2012-10-01;3767
2012-10-23;5530
2012-10-30;5639
2012-11-07;6097
2012-11-13;6499
2012-11-19;7728
2012-11-27;8125
2012-12-04;8858
2012-12-11;10169
2012-12-16;10474
2012-12-18;10747
2012-12-19;10823
2012-12-22;11098
2012-12-23;11190
2012-12-24;11260
2012-12-26;11280
2012-12-27;11673
2012-12-28;12219
2012-12-29;12836
2012-12-30;12915
2012-12-31;13001
2013-01-02;13059
2013-01-06;13109
2013-01-08;13192
2013-01-09;13292
2013-01-13;13556
2013-01-14;13684
2013-01-16;13874
2013-01-17;13874
2013-01-20;13963
2013-01-21;14060
2013-01-22;14156
2013-01-23;14248
2013-01-27;14312
2013-01-28;14375
2013-01-29;14441
2013-01-30;14478
2013-02-02;14801
2013-02-03;14878
2013-02-04;14977
2013-02-05;15057
2013-02-09;16150
2013-02-10;16195
2013-02-11;16244
2013-02-12;16308
2013-02-13;16363
2013-02-14;16910
2013-02-15;17454
2013-02-16;18139
2013-02-17;18170
2013-02-18;18245
2013-02-19;18306
2013-02-20;18404
2013-02-21;18958
2013-02-22;19591
2013-02-24;19689
2013-02-25;20064
2013-02-26;20184
2013-02-27;20292
2013-02-28;20302
2013-03-03;20531
2013-03-05;20665
2013-03-06;20743
2013-03-12;21149
2013-03-13;21442
2013-03-14;21758
2013-03-17;22522
2013-03-19;23284
2013-03-20;23568
2013-03-21;23934
2013-03-24;25604
2013-03-25;26003
2013-03-26;26412
2013-03-27;26891
2013-03-28;27295
2013-03-31;27798
2013-04-01;27857
2013-04-02;28782
2013-04-03;29786
2013-04-04;31459
2013-04-05;32297
2013-04-07;34197
2013-04-08;35054
2013-04-12;36904
2013-04-14;37126
2013-04-15;37361
2013-04-16;37657
2013-04-17;38035
2013-04-18;38416
2013-04-22;38998
2013-04-23;39273
2013-04-30;45032
2013-05-07;46502
2013-05-12;47499
2013-05-13;47927
2013-05-14;48429
2013-05-15;48429
2013-05-19;50372
2013-05-20;50784
2013-05-21;51171
2013-05-22;51491
2013-05-23;51917
2013-05-26;52430
2013-05-27;55378
2013-05-28;56060
2013-06-03;57467
2013-06-04;57787
2013-06-09;59885
2013-06-12;62105
2013-06-20;65726
2013-06-23;66692
2013-06-25;68492
2013-06-26;69207
2013-07-08;70140
2013-07-10;71276
2013-07-13;72083
2013-07-15;73547
2013-07-17;75456
2013-07-23;78352
2013-07-28;80603
2013-07-31;83286
2013-08-07;86679
2013-08-11;88105
2013-08-13;88105
2013-08-19;89555
2013-08-22;90728
2013-08-26;92260
2013-08-27;93495
2013-08-28;94490
2013-08-29;95578
2013-09-01;96383
2013-09-02;97018
2013-09-03;104703
2013-09-16;104703
2013-09-17;105153
2013-09-22;111175
2013-10-02;120548
2013-10-08;122350
2013-10-09;122667
2013-10-10;122794
2013-10-13;123229
2013-10-14;123296
2013-10-17;123239
2013-10-20;123515
2013-10-21;123729
2013-10-22;123949
2013-10-23;124094
2013-10-24;124231
2013-10-27;124340
2013-10-28;124535
2013-10-30;125374
2013-11-03;125631
2013-11-06;125804
2013-11-07;125898
2013-11-10;126166
2013-11-12;126442
2013-11-13;126632
2013-11-14;126770
2013-11-17;127304
2013-11-18;127409
2013-11-19;127495
2013-11-20;127605
2013-11-21;127733
2013-11-24;127876
2013-11-25;127971
2013-11-26;128158
2013-12-03;128843
2013-12-04;128967
2013-12-08;129174
2013-12-09;129289
2013-12-10;129407
2013-12-11;129486
2013-12-12;129618
2013-12-15;130524
2013-12-16;130720
2013-12-17;130841
2013-12-23;131086
2013-12-24;131191
2013-12-26;131316
2013-12-30;131599
2014-01-02;131707
2014-01-09;132238
2014-01-12;132356
2014-01-14;132383
2014-01-19;132415
2014-01-20;132504
2014-01-21;132598
2014-01-22;132670
2014-01-23;132740
2014-01-26;132749
2014-01-27;132799
2014-01-28;132849
2014-01-29;132877
2014-01-30;133023
2014-02-02;133145
2014-02-03;133251
2014-02-04;133267
